"filename", "language", "TypeScript", "vue", "JSON", "SCSS", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/dropdowns/NotificationDropdown.vue", "vue", 0, 162, 0, 0, 0, 0, 0, 19, 181
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/dropdowns/ProfileDropdown.vue", "vue", 0, 132, 0, 0, 0, 0, 0, 12, 144
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/sidebar/AppSidebar.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 16, 118
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/sidebar/NavigationRoutes.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 21, 2, 75
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/typography/Typography.stories.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/typography/Typography.vue", "vue", 0, 206, 0, 0, 0, 0, 0, 5, 211
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/VaChart.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 9, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/BarChart.vue", "vue", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/BubbleChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/DoughnutChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/HorizontalBarChart.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/LineChart.vue", "vue", 0, 59, 0, 0, 0, 0, 0, 14, 73
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/Map.vue", "vue", 0, 59, 0, 0, 0, 0, 0, 8, 67
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/PieChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/external-tooltip.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 7, 24, 118
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/vaChartConfigs.js", "JavaScript", 0, 0, 0, 0, 103, 0, 0, 5, 108
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-medium-editor/VaMediumEditor.vue", "vue", 0, 158, 0, 0, 0, 0, 0, 33, 191
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-medium-editor/_variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 1, 2, 10
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-timeline-item.vue", "vue", 0, 73, 0, 0, 0, 0, 0, 10, 83
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/locales/cn.json", "JSON", 0, 0, 195, 0, 0, 0, 0, 0, 195
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/locales/gb.json", "JSON", 0, 0, 184, 0, 0, 0, 0, 0, 184
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/AppLayout.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 17, 92
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/AuthLayout.vue", "vue", 0, 44, 0, 0, 0, 0, 0, 4, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/RouterBypass.vue", "vue", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/main.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/404.vue", "vue", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/UsersPage.vue", "vue", 0, 41, 0, 0, 0, 0, 14, 12, 67
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/composables/useUsers.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/widgets/EditUserForm.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 10, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/widgets/UsersTable.vue", "vue", 0, 65, 0, 0, 0, 0, 33, 14, 112
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/auth/Login.vue", "vue", 0, 45, 0, 0, 0, 0, 0, 8, 53
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/BillingPage.vue", "vue", 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/Invoices.vue", "vue", 0, 78, 0, 0, 0, 0, 0, 17, 95
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/MembeshipTier.vue", "vue", 0, 99, 0, 0, 0, 0, 0, 7, 106
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/PaymentInfo.vue", "vue", 0, 79, 0, 0, 0, 0, 0, 14, 93
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/ToiletDetail.vue", "vue", 0, 23, 0, 0, 0, 0, 0, 6, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/payment-system/PaymentSystem.stories.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/payment-system/PaymentSystem.vue", "vue", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/types.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleForm.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 10, 45
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleList.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 10, 95
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleListItem.vue", "vue", 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/Dashboard.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/DataSection.vue", "vue", 0, 76, 0, 0, 0, 0, 0, 5, 81
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/DataSectionItem.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/MonthlyEarnings.vue", "vue", 0, 62, 0, 0, 0, 0, 0, 4, 66
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RegionRevenue.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 3, 40
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RevenueByLocationMap.vue", "vue", 0, 53, 0, 0, 0, 0, 0, 9, 62
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RevenueReportChart.vue", "vue", 0, 98, 0, 0, 0, 0, 0, 14, 112
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/Timeline.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 3, 105
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/BillingPage.vue", "vue", 0, 15, 0, 0, 0, 0, 0, 5, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/Invoices.vue", "vue", 0, 54, 0, 0, 0, 0, 0, 10, 64
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/BillingPage.vue", "vue", 0, 15, 0, 0, 0, 0, 0, 5, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/Invoices.vue", "vue", 0, 78, 0, 0, 0, 0, 0, 17, 95
